"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Flower & Horse in Spring","4.1","461","1741 Robson St","Vancouver","British Columbia","CA","https://flowerhorseinspring.zomi.menu/","+1 778-379-6198","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Flower%20%26%20Horse%20in%20Spring&query_place_id=ChIJN8MuEohxhlQRnPb0SnLjn4U"
"Noodle Arts","4.3","368","1739 Robson St","Vancouver","British Columbia","CA","https://noodlearts.zomi.menu/","+1 604-673-5688","Chinese noodle restaurant","https://www.google.com/maps/search/?api=1&query=Noodle%20Arts&query_place_id=ChIJGf-ytvhxhlQRqVPrlyhwl-4"
"Dan Dan Noodle","4.1","383","836 Denman St","Vancouver","British Columbia","CA",,"+1 604-559-0266","Sichuan restaurant","https://www.google.com/maps/search/?api=1&query=Dan%20Dan%20Noodle&query_place_id=ChIJy0vgKUJxhlQRZUjRPtW4tJM"
"Sula Indian Restaurant, Davie Street","4.4","423","1708 Davie St","Vancouver","British Columbia","CA","https://sulaindianrestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_davie_hp","+1 778-653-5433","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Sula%20Indian%20Restaurant%2C%20Davie%20Street&query_place_id=ChIJF5-n50hzhlQRLbkYBNtV6x0"
"93 Coffee","4.6","285","1789 Comox St","Vancouver","British Columbia","CA","http://93coffee.ca/","+1 778-379-5926","Cafe","https://www.google.com/maps/search/?api=1&query=93%20Coffee&query_place_id=ChIJfz7yjC1zhlQRPIeqYEgkBKs"
"Pho Express Ankor Noodle House","4.2","478","1745 Robson St","Vancouver","British Columbia","CA","https://phoexpressankornoodlehouse.zomi.menu/","+1 604-689-8399","Restaurant","https://www.google.com/maps/search/?api=1&query=Pho%20Express%20Ankor%20Noodle%20House&query_place_id=ChIJQWbhE4hxhlQR1121SZ4ZK_0"
"Tetsu Sushi Bar","4.6","452","775 Denman St","Vancouver","British Columbia","CA","https://www.tetsusushibar.com/","+1 604-428-5775","Sushi restaurant","https://www.google.com/maps/search/?api=1&query=Tetsu%20Sushi%20Bar&query_place_id=ChIJV3vgOIhxhlQRa7tQLte4kDk"
"The Basic","4.2","555","948 Denman St","Vancouver","British Columbia","CA","http://www.thebasiceats.com/","+1 604-642-6588","Breakfast restaurant","https://www.google.com/maps/search/?api=1&query=The%20Basic&query_place_id=ChIJNV3TwidyhlQRD6PwcfiNWEQ"
"Afghani Kabul Kebab Donair Ltd","4.4","724","1793 Robson St","Vancouver","British Columbia","CA","https://afghanikabulkebabdonairltd.zomi.menu/","+1 604-569-1124","Middle Eastern restaurant","https://www.google.com/maps/search/?api=1&query=Afghani%20Kabul%20Kebab%20Donair%20Ltd&query_place_id=ChIJF-zxPYhxhlQRz2nehz3oMaA"
"Big Bang Sushi","4.5","451","1103 Denman St","Vancouver","British Columbia","CA","https://bigbangsushi.ca/","+1 604-336-9622","Sushi restaurant","https://www.google.com/maps/search/?api=1&query=Big%20Bang%20Sushi&query_place_id=ChIJVT7TCzNzhlQRDkJurE2XeRg"
"Red Umbrella Cafe","4.4","1157","1707 Davie St","Vancouver","British Columbia","CA","https://redumbrellacafe.ca/","+1 604-688-7818","Breakfast restaurant","https://www.google.com/maps/search/?api=1&query=Red%20Umbrella%20Cafe&query_place_id=ChIJI6ImMy9yhlQRddvgxWmTi4A"
"MOMO SUSHI BIDWELL","4.4","721","833 Bidwell St","Vancouver","British Columbia","CA","https://momosushibidwell.com/","+1 604-569-2001","Sushi restaurant","https://www.google.com/maps/search/?api=1&query=MOMO%20SUSHI%20BIDWELL&query_place_id=ChIJx8Ts_YdxhlQRltXu3n3Fv6A"
"Sylvia Hotel, Restaurant and Lounge","4.3","2135","1154 Gilford St","Vancouver","British Columbia","CA","https://sylviahotel.com/","(877) 681-9321","Hotel","https://www.google.com/maps/search/?api=1&query=Sylvia%20Hotel%2C%20Restaurant%20and%20Lounge&query_place_id=ChIJTZVOoN1zhlQRSMNq0C_JoIo"
"Olympia Pizza & Pasta Restaurant(Denman st) Vancouver","4.1","1042","998 Denman St","Vancouver","British Columbia","CA","http://www.olympiapizza.com/","+1 604-688-8333","Greek restaurant","https://www.google.com/maps/search/?api=1&query=Olympia%20Pizza%20%26%20Pasta%20Restaurant(Denman%20st)%20Vancouver&query_place_id=ChIJJe0U0SdyhlQRH0BPwVr4JoA"
"Falafel King","4.2","333","1110 Denman St","Vancouver","British Columbia","CA",,"+1 604-669-7278","Lebanese restaurant","https://www.google.com/maps/search/?api=1&query=Falafel%20King&query_place_id=ChIJ2XUWoChyhlQR0JjHw1UUPwY"
"Nat's New York Pizzeria","4.3","590","1080 Denman St","Vancouver","British Columbia","CA","http://www.natspizza.com/","+1 604-642-0777","Pizza Takeout","https://www.google.com/maps/search/?api=1&query=Nat's%20New%20York%20Pizzeria&query_place_id=ChIJdZ34nShyhlQRR5UQwrergII"
"Chung Chun Rice Hot Dog","4.5","1283","1795 Robson St","Vancouver","British Columbia","CA","http://chungchunricedog.ca/","+1 604-423-5529","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=Chung%20Chun%20Rice%20Hot%20Dog&query_place_id=ChIJhZE_EDdxhlQRUidBXle9i3E"
"Delany's Coffee House","4.4","685","1105 Denman St","Vancouver","British Columbia","CA","https://www.delanyscoffee.com/","+1 604-662-3344","Cafe","https://www.google.com/maps/search/?api=1&query=Delany's%20Coffee%20House&query_place_id=ChIJ0QyFoChyhlQR79TRHqqH6IA"
"Akira Sushi","4.2","458","1069 Denman St","Vancouver","British Columbia","CA","https://akira-sushi.ca/","+1 604-806-6321","Japanese restaurant","https://www.google.com/maps/search/?api=1&query=Akira%20Sushi&query_place_id=ChIJHVCFICZyhlQR4mED64JxecE"
"Ho Yuen Kee Restaurant","3.9","1220","6236 Fraser St","Vancouver","British Columbia","CA","https://hoyuenkeerestaurant.shop/","+1 604-324-8855","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Ho%20Yuen%20Kee%20Restaurant&query_place_id=ChIJfR7W5hR0hlQR7WrOIYfvh7o"
"Freshslice Pizza","4.6","569","1764 Davie St","Vancouver","British Columbia","CA","https://www.freshslice.com/pizza-in-vancouver/","+1 604-568-1760","Pizza restaurant","https://www.google.com/maps/search/?api=1&query=Freshslice%20Pizza&query_place_id=ChIJJ2VPlclzhlQR9mO0iPfKCQg"
"New Agarwal Restaurant","4.3","256","7233 Fraser St","Vancouver","British Columbia","CA","https://agarwalvancouver.com/","+1 604-566-3111","Indian restaurant","https://www.google.com/maps/search/?api=1&query=New%20Agarwal%20Restaurant&query_place_id=ChIJ-9MqVVh1hlQRVrtFfh57ZKQ"
"Chosun Korean BBQ","4","1926","3486 Kingsway","Vancouver","British Columbia","CA","https://chosunbbq.ca/","+1 604-434-1222","Korean barbecue restaurant","https://www.google.com/maps/search/?api=1&query=Chosun%20Korean%20BBQ&query_place_id=ChIJWVntFo52hlQRD09-SMxntUk"
"Madras Spice Restaurant, Vancouver","4.1","1242","6260 Fraser St","Vancouver","British Columbia","CA","http://www.madrasspice.ca/","+1 604-325-6555","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Madras%20Spice%20Restaurant%2C%20Vancouver&query_place_id=ChIJtzrL3xR0hlQRjj2G3yaMEkk"
"Tandoori Oven","4.3","1065","6452 Main St","Vancouver","British Columbia","CA","https://tandooriovenrestaurant.com/","+1 604-565-3355","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Tandoori%20Oven&query_place_id=ChIJqYa3WWl0hlQRus9KcGbnlM8"
"Original Tandoori Kitchen","4.2","541","7215 Main St","Vancouver","British Columbia","CA","https://originaltandoorikitchen.com/","+1 604-327-8900","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Original%20Tandoori%20Kitchen&query_place_id=ChIJDf5DMl10hlQRSkJuZs97PG4"
"Sushi Taku-en Japanese restaurant","4.5","245","6967 Victoria Dr","Vancouver","British Columbia","CA","https://www.clover.com/online-ordering/sushi-taku-en","+1 604-559-6896","Japanese restaurant","https://www.google.com/maps/search/?api=1&query=Sushi%20Taku-en%20Japanese%20restaurant&query_place_id=ChIJ7R1Zmmh1hlQRaNhxs14WXtg"
"Sushi Mura River District","4.1","1112","3545 E Sawmill Cres","Vancouver","British Columbia","CA","https://sushi-mura.com/","+1 604-620-7894","Restaurant","https://www.google.com/maps/search/?api=1&query=Sushi%20Mura%20River%20District&query_place_id=ChIJG5yJepR1hlQRZ6THjHcg4hc"
"Dhaliwal Sweet & Restaurant","4.3","3432","6555 Fraser St","Vancouver","British Columbia","CA","https://dhaliwalsweet.easydine.co/","+1 604-325-4911","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Dhaliwal%20Sweet%20%26%20Restaurant&query_place_id=ChIJn2xBpmp0hlQRfHeBKiPzWYk"
"Happy Day Cafe","3.7","1566","3312 Kingsway","Vancouver","British Columbia","CA","https://happydaycafe.ca/","+1 604-307-6868","Hong Kong style fast food restaurant","https://www.google.com/maps/search/?api=1&query=Happy%20Day%20Cafe&query_place_id=ChIJ2Ufdq5F2hlQRY0PIVLy0v7s"
"The Captain's Boil","3.9","1603","3309 Kingsway","Vancouver","British Columbia","CA","http://www.thecaptainsboil.com/","+1 604-565-3999","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=The%20Captain's%20Boil&query_place_id=ChIJR3oZB5F2hlQRm-0AS6Q0r_U"
"Hi Five Chicken","4.2","1552","203 SE Marine Dr","Vancouver","British Columbia","CA","http://www.hifivechicken.com/","+1 604-327-4898","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Hi%20Five%20Chicken&query_place_id=ChIJA98BZpN1hlQRGfpzE7K3GiY"
"Good Choice Restaurant","4.1","357","6007 Fraser St","Vancouver","British Columbia","CA","http://www.good-choice.ca/","+1 604-325-9788","Cantonese restaurant","https://www.google.com/maps/search/?api=1&query=Good%20Choice%20Restaurant&query_place_id=ChIJM0jYfRR0hlQRGzzKM0EKBV4"
"Sushi & Co","4.3","642","6520 Fraser St","Vancouver","British Columbia","CA","https://sushicofraser.menu11.com/vancouver/order","+1 604-327-2221","Japanese restaurant","https://www.google.com/maps/search/?api=1&query=Sushi%20%26%20Co&query_place_id=ChIJK-MNr2p0hlQR_2ODdC13r6E"
"Jingle Bao","4.3","1042","774 Denman St","Vancouver","British Columbia","CA","http://jinglebao.com/","+1 604-428-7722","Dim sum restaurant","https://www.google.com/maps/search/?api=1&query=Jingle%20Bao&query_place_id=ChIJoVHE3YtxhlQR9VEBiZ6qXog"
"Ukrainian Village","4.4","1109","815 Denman St","Vancouver","British Columbia","CA","https://ukrainianvillage.wixsite.com/canada","+1 604-687-7440","Ukrainian restaurant","https://www.google.com/maps/search/?api=1&query=Ukrainian%20Village&query_place_id=ChIJ1y0YI4hxhlQRXIEmfZiXgEw"
"Modern Handi Indian Cuisine","4.6","1043","827 Denman St","Vancouver","British Columbia","CA","http://www.modernhandi.com/","+1 604-559-5244","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Modern%20Handi%20Indian%20Cuisine&query_place_id=ChIJ54NpIIhxhlQRhb2k3PoxCTo"
"Zakkushi on Denman","4.4","1155","823 Denman St","Vancouver","British Columbia","CA","https://zakkushi.com/zakkushi/denman/","+1 604-685-1136","Izakaya restaurant","https://www.google.com/maps/search/?api=1&query=Zakkushi%20on%20Denman&query_place_id=ChIJ77z7IYhxhlQRYq44T6nqqB0"
"Papi's Seafood and Oyster Bar","4.2","622","1193 Denman St","Vancouver","British Columbia","CA","http://www.papisoysterbar.com/","+1 604-685-7337","Restaurant","https://www.google.com/maps/search/?api=1&query=Papi's%20Seafood%20and%20Oyster%20Bar&query_place_id=ChIJecbdLCRzhlQR5zNwpp7WPVs"
"Legendary Noodle House","4.3","695","1074 Denman St","Vancouver","British Columbia","CA","https://www.legendarynoodle.ca/","+1 604-669-8551","Chinese noodle restaurant","https://www.google.com/maps/search/?api=1&query=Legendary%20Noodle%20House&query_place_id=ChIJ7XLSAvpzhlQRWZY1PCngALY"
"KIN'S FOOD & BISTRO","4.3","130","792 Denman St","Vancouver","British Columbia","CA","https://www.instagram.com/kinsfoodandbistro/","+1 236-477-0277","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=KIN'S%20FOOD%20%26%20BISTRO&query_place_id=ChIJBZioOQxxhlQRtwINmJUu4mw"
"The Park Pub","4.4","1134","1755 Davie St","Vancouver","British Columbia","CA","https://www.parkpub.ca/","+1 604-682-1831","Pub","https://www.google.com/maps/search/?api=1&query=The%20Park%20Pub&query_place_id=ChIJmZqwSi9yhlQRwouQZ3IxzFI"
"Damso Modern Korean Restaurant","4.3","913","867 Denman St","Vancouver","British Columbia","CA","https://damso-restaurant.ca/denman","+1 604-632-0022","Korean restaurant","https://www.google.com/maps/search/?api=1&query=Damso%20Modern%20Korean%20Restaurant&query_place_id=ChIJO_P18idyhlQR1DvHQxqvypY"
"Score on Davie","4.4","2927","1262 Davie St","Vancouver","British Columbia","CA","http://scoreondavie.com/","+1 604-632-1646","Pub","https://www.google.com/maps/search/?api=1&query=Score%20on%20Davie&query_place_id=ChIJuWIJjCtyhlQRbzI7maBcq8c"
"Biryani Lounge Restaurant and Bar","4.4","656","1184 Denman St","Vancouver","British Columbia","CA","http://biryanilounges.ca/","+1 604-609-9999","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Biryani%20Lounge%20Restaurant%20and%20Bar&query_place_id=ChIJj5wgXY9zhlQRJ81hogjlCEQ"
"Ôngbà Vietnamese Eatery","4.4","773","976 Denman St","Vancouver","British Columbia","CA","http://ongba.ca/","+1 604-620-5595","Vietnamese restaurant","https://www.google.com/maps/search/?api=1&query=%C3%94ngb%C3%A0%20Vietnamese%20Eatery&query_place_id=ChIJMXAeXMlzhlQRZZpqQjvb_Wg"
"Kinara Indian Cuisine","4.5","844","1326 Davie St","Vancouver","British Columbia","CA","http://kinaraindiancuisine.ca/","+1 604-633-8313","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Kinara%20Indian%20Cuisine&query_place_id=ChIJXeBlycZzhlQRQKCkhZQMz9c"
"Shamrock Storehouse","4.5","656","1184 Denman St #102","Vancouver","British Columbia","CA","http://www.shamrockstorehouse.com/","+1 604-428-4414","Irish pub","https://www.google.com/maps/search/?api=1&query=Shamrock%20Storehouse&query_place_id=ChIJny8xrShyhlQRqFxysSLSceo"
"Café Portrait","4.6","1018","1120 Denman St","Vancouver","British Columbia","CA","http://cafeportrait.com/","+1 604-915-6993","Brunch restaurant","https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Portrait&query_place_id=ChIJkdJ5TNpzhlQRQ9oMzm4g-cY"
"Khaghan Restaurant","4.2","1844","851 Denman St","Vancouver","British Columbia","CA","https://khaghanrestaurant.ca/","+1 604-620-7688","Persian restaurant","https://www.google.com/maps/search/?api=1&query=Khaghan%20Restaurant&query_place_id=ChIJhd_AaSpzhlQRR0HKIE5tj_w"
"Pho Q&M Vietnamese Restaurant (Best Price on Website!)","4.4","219","825 Denman St","Vancouver","British Columbia","CA","https://phoqmvietnameserestaurant.zomi.menu/","+1 604-688-1199","Vietnamese restaurant","https://www.google.com/maps/search/?api=1&query=Pho%20Q%26M%20Vietnamese%20Restaurant%20(Best%20Price%20on%20Website!)&query_place_id=ChIJo9heRu9xhlQRrePSPBVD2G4"
"Dhamaka Indian Restaurant | Vancouver","4.8","3173","6560 Main St","Vancouver","British Columbia","CA","https://dhamakarestaurant.com/","+1 604-327-0891","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Dhamaka%20Indian%20Restaurant%20%7C%20Vancouver&query_place_id=ChIJyem_KX51hlQRcNK2gnK0x34"
"Kintaro Ramen","4.3","1860","788 Denman St","Vancouver","British Columbia","CA","https://kintaroramen.shop/","+1 604-682-7568","Ramen restaurant","https://www.google.com/maps/search/?api=1&query=Kintaro%20Ramen&query_place_id=ChIJJYzxPohxhlQRFHN7EYdtbZE"
"Holy Guacamole","4.1","602","805 Denman St","Vancouver","British Columbia","CA","https://www.holyguacamolemexicangrill.com/","+1 604-423-9119","Mexican restaurant","https://www.google.com/maps/search/?api=1&query=Holy%20Guacamole&query_place_id=ChIJYVuP8NxxhlQRtDlsCAKCN7Y"
"Bombay Kitchen and Bar on Denman","4.6","728","1061 Denman St","Vancouver","British Columbia","CA","https://bombaykitchenondenman.ca/","+1 604-558-4445","Restaurant","https://www.google.com/maps/search/?api=1&query=Bombay%20Kitchen%20and%20Bar%20on%20Denman&query_place_id=ChIJSbmhiuRzhlQR04kvchr9X_I"
